Make,Colour,Odometer (KM),Doors,Price
Chevrolet,gray,27085,2,"$50,189"
Toyota,navy,34538,5,"$54,069"
Toyota,fuchsia,90373,4,"$36,889"
GMC,olive,66378,7,"$73,949"
Mercedes-Benz,silver,36865,2,"$46,143"
GMC,olive,97879,2,"$8,058"
Genesis,aqua,42977,2,"$23,298"
Audi,fuchsia,63102,6,"$90,925"
Lexus,yellow,93325,5,"$91,713"
Chevrolet,purple,69727,5,"$82,344"
Mitsubishi,yellow,84044,2,"$69,995"
Mitsubishi,blue,16248,5,"$29,485"
Ford,white,10293,6,"$13,187"
Dodge,olive,65262,4,"$53,989"
Ford,maroon,49128,7,"$40,922"
Jeep,yellow,40183,5,"$5,896"
Lexus,white,42423,4,"$65,970"
Ram,olive,42756,5,"$67,984"
Mitsubishi,green,93901,3,"$8,567"
Freightliner,yellow,21037,2,"$39,836"
Chevrolet,green,34501,3,"$16,156"
GMC,yellow,59974,7,"$22,156"
Toyota,white,21443,5,"$40,912"
Chevrolet,aqua,28158,3,"$30,370"
Honda,blue,16349,2,"$98,044"
Dodge,black,50090,6,"$53,462"
Jeep,yellow,15049,6,"$39,140"
Dodge,black,18817,3,"$66,706"
Kia,olive,1397,4,"$98,024"
GMC,olive,75260,2,"$85,264"
Ford,gray,83183,7,"$22,960"
Chevrolet,white,5747,3,"$82,606"
Land Rover,green,25724,2,"$40,441"
Volkswagen,lime,33190,4,"$16,574"
Hyundai,yellow,99158,3,"$36,008"
MAZDA,green,25076,2,"$94,333"
Chrysler,olive,57473,4,"$74,701"
Cadillac,white,33394,7,"$78,554"
Pontiac,gray,45037,2,"$40,175"
Pontiac,black,32855,6,"$6,683"
Audi,white,30611,3,"$84,124"
Mitsubishi,aqua,18526,2,"$12,003"
BMW,black,18048,4,"$71,035"
Nissan,black,51353,5,"$39,991"
FIAT,olive,95689,4,"$47,127"
Isuzu,purple,57913,2,"$8,407"
Ford,lime,69911,7,"$10,922"
Honda,white,65935,6,"$39,651"
Lexus,black,28781,4,"$98,907"
Nissan,olive,29532,7,"$17,732"
GMC,silver,91253,2,"$56,842"
Chevrolet,maroon,61173,7,"$98,321"
Toyota,purple,63583,6,"$65,452"
BMW,blue,87388,3,"$48,466"
Chevrolet,green,46806,7,"$21,878"
Volvo,blue,60580,7,"$15,132"
Kia,lime,65155,6,"$93,348"
Chevrolet,purple,98336,4,"$94,173"
Buick,fuchsia,46681,4,"$95,680"
Nissan,blue,55765,3,"$9,100"
Porsche,yellow,87259,5,"$80,051"
Audi,lime,51049,2,"$84,593"
Toyota,fuchsia,65280,3,"$4,612"
Plymouth,silver,26582,2,"$6,316"
SRT,maroon,7694,7,"$93,380"
Mercedes-Benz,teal,32165,5,"$78,190"
Kia,blue,10513,2,"$15,395"
Toyota,blue,84626,3,"$90,828"
Kia,fuchsia,55807,6,"$53,214"
Aston Martin,purple,49836,3,"$56,090"
Cadillac,green,43362,2,"$83,205"
Dodge,white,37931,4,"$10,839"
Chevrolet,silver,60160,3,"$44,365"
INFINITI,blue,96521,2,"$36,257"
Chevrolet,silver,13940,5,"$21,690"
Ford,silver,87832,4,"$68,090"
Ford,aqua,2784,5,"$78,311"
Chevrolet,black,49177,3,"$73,209"
Hyundai,lime,36037,3,"$47,791"
BMW,black,69913,6,"$86,264"
Subaru,lime,21153,2,"$32,664"
GMC,black,32655,5,"$22,947"
Chevrolet,blue,29587,3,"$35,442"
Chevrolet,blue,35631,4,"$17,889"
Dodge,green,34306,7,"$78,266"
Ram,blue,73383,6,"$49,634"
Hyundai,aqua,31559,2,"$16,335"
Chevrolet,teal,69489,2,"$19,806"
Chevrolet,green,16418,6,"$49,332"
Land Rover,aqua,15941,6,"$98,995"
Toyota,aqua,37981,4,"$55,192"
Cadillac,teal,35087,2,"$3,241"
Acura,fuchsia,42425,4,"$36,007"
Subaru,aqua,50504,5,"$25,335"
Chevrolet,black,1059,6,"$20,502"
Audi,fuchsia,90173,7,"$31,351"
Suzuki,yellow,96158,4,"$63,200"
Subaru,white,84320,2,"$48,020"
Nissan,green,79595,3,"$96,265"
Dodge,silver,20052,6,"$86,024"
Chevrolet,teal,3633,5,"$36,984"
Toyota,fuchsia,91816,3,"$82,703"
Audi,yellow,88577,3,"$20,877"
MAZDA,yellow,31056,7,"$83,619"
Ram,gray,7718,3,"$58,074"
Saab,lime,61026,5,"$92,866"
Ford,blue,26539,7,"$23,994"
GMC,olive,37554,5,"$41,715"
Chevrolet,blue,93119,5,"$86,369"
Ford,teal,52990,3,"$28,591"
Buick,maroon,15002,4,"$25,109"
BMW,silver,29736,3,"$17,281"
Volvo,green,52772,6,"$98,164"
Dodge,white,29240,2,"$82,260"
Chevrolet,olive,80533,4,"$3,790"
GMC,navy,58747,2,"$24,354"
Ford,olive,36546,5,"$16,711"
BMW,white,8262,7,"$68,330"
GMC,black,5827,6,"$67,414"
Ford,maroon,92068,7,"$54,277"
Chevrolet,maroon,98970,7,"$29,267"
Chrysler,gray,42264,6,"$83,592"
Dodge,black,5095,7,"$7,973"
Jeep,silver,60919,5,"$60,614"
Ford,yellow,89900,4,"$19,330"
Dodge,black,7876,3,"$25,298"
BMW,olive,18551,2,"$14,923"
Nissan,teal,52354,2,"$99,895"
Ford,gray,63341,6,"$91,286"
Dodge,white,6416,4,"$53,768"
Cadillac,white,31278,3,"$79,785"
Audi,white,28730,5,"$81,434"
GMC,green,31565,4,"$53,037"
Kia,gray,54923,7,"$11,392"
GMC,olive,8457,7,"$67,381"
Hyundai,aqua,59939,7,"$76,772"
Dodge,black,38931,7,"$97,363"
Subaru,green,17765,5,"$66,112"
Ford,green,30241,4,"$22,867"
Oldsmobile,black,75566,3,"$88,136"
Oldsmobile,olive,24488,2,"$89,440"
Nissan,white,16473,4,"$23,695"
Isuzu,white,63812,3,"$23,712"
Saab,purple,10508,7,"$81,039"
Tesla,silver,65557,7,"$85,264"
Volvo,yellow,85243,4,"$86,843"
Jeep,silver,88654,3,"$5,346"
Toyota,purple,98909,5,"$18,407"
Ford,black,82634,4,"$34,934"
Volvo,yellow,46076,7,"$88,900"
Cadillac,gray,63543,3,"$13,008"
Lexus,olive,8606,3,"$74,549"
Land Rover,silver,89373,4,"$48,262"
GMC,teal,40119,7,"$40,244"
Panoz,teal,82048,7,"$88,632"
Dodge,yellow,31964,2,"$91,484"
Suzuki,silver,53819,7,"$20,818"
Subaru,teal,19146,7,"$48,185"
Volkswagen,maroon,29332,6,"$72,810"
Mercedes-Benz,silver,25668,2,"$54,793"
Mercury,maroon,69114,4,"$55,353"
Honda,blue,71716,2,"$51,551"
Volkswagen,olive,64960,6,"$59,114"
Mercedes-Benz,navy,73674,7,"$15,514"
Isuzu,black,8061,2,"$79,854"
Land Rover,navy,3248,3,"$90,206"
SRT,navy,17943,6,"$6,391"
BMW,aqua,37658,6,"$82,622"
Chrysler,purple,58366,4,"$3,412"
Chevrolet,white,44110,5,"$7,260"
Plymouth,black,44691,2,"$79,206"
Acura,black,70623,6,"$97,724"
Nissan,yellow,25995,6,"$33,984"
Chrysler,black,38771,7,"$35,247"
Lincoln,yellow,62218,2,"$54,491"
Volkswagen,maroon,75707,2,"$90,527"
Jaguar,purple,54735,5,"$52,429"
GMC,white,38919,7,"$78,749"
Dodge,fuchsia,51235,2,"$55,581"
Mercedes-Benz,blue,32528,5,"$51,202"
Acura,olive,17216,5,"$20,118"
Volvo,navy,52368,2,"$96,779"
Audi,yellow,23011,3,"$30,534"
Cadillac,maroon,73703,3,"$99,123"
Ford,lime,98945,2,"$48,161"
Lamborghini,silver,67180,6,"$51,470"
Genesis,olive,82940,4,"$52,330"
Maserati,navy,20007,7,"$47,278"
Audi,green,15925,6,"$19,790"
Chevrolet,black,84420,5,"$38,672"
MINI,lime,2179,5,"$25,983"
Audi,maroon,23497,4,"$21,735"
Cadillac,teal,77418,2,"$54,623"
Dodge,black,38185,5,"$21,528"
Volvo,blue,94775,6,"$63,938"
Chevrolet,white,2815,2,"$1,838"
Toyota,purple,63657,3,"$14,033"
Pontiac,white,94355,6,"$30,227"
Oldsmobile,maroon,49740,2,"$55,870"
Lexus,blue,41745,5,"$39,436"
Jeep,gray,31268,2,"$43,126"
Pontiac,lime,96649,6,"$92,896"
Toyota,teal,59962,2,"$94,817"
Nissan,olive,22870,7,"$14,803"
Dodge,silver,16150,3,"$92,878"
Mitsubishi,white,51172,4,"$81,055"
Toyota,purple,24873,3,"$8,025"
Mercedes-Benz,olive,33277,3,"$68,223"
Toyota,green,79636,7,"$51,608"
Buick,navy,13112,2,"$5,182"
Dodge,blue,18276,2,"$18,013"
Buick,navy,9984,3,"$80,718"
Mitsubishi,gray,2573,4,"$66,850"
Tesla,lime,34167,4,"$98,522"
Acura,teal,98751,3,"$65,708"
Audi,aqua,82687,6,"$28,673"
Kia,aqua,23241,6,"$46,463"
MAZDA,black,23388,6,"$75,071"
Ford,silver,64207,2,"$96,491"
Saab,green,15224,7,"$78,570"
Honda,lime,73840,2,"$24,102"
Maserati,aqua,9960,3,"$22,916"
Chevrolet,white,58297,5,"$50,340"
Maserati,silver,42202,2,"$33,777"
Volkswagen,teal,85839,4,"$61,622"
Saturn,lime,56696,7,"$22,574"
Chevrolet,silver,65208,6,"$95,692"
Volkswagen,silver,66606,3,"$21,960"
Ford,aqua,23309,5,"$4,419"
Suzuki,black,23728,6,"$19,333"
Ford,yellow,41908,7,"$91,705"
Nissan,gray,95299,6,"$19,108"
Chevrolet,lime,71334,3,"$16,023"
Cadillac,purple,6111,3,"$84,029"
BMW,white,85429,3,"$22,172"
Toyota,blue,49837,4,"$52,429"
Subaru,teal,40113,3,"$9,876"
BMW,white,14210,4,"$81,262"
Hyundai,black,73098,2,"$41,634"
GMC,silver,47611,2,"$67,973"
MINI,lime,93230,4,"$73,615"
HUMMER,gray,91320,2,"$65,439"
MINI,silver,12129,7,"$2,522"
Volvo,blue,46717,6,"$79,651"
Suzuki,black,39366,6,"$21,405"
Lincoln,fuchsia,66511,4,"$41,472"
Nissan,black,12236,6,"$59,861"
BMW,aqua,69777,3,"$99,110"
GMC,black,34022,3,"$60,988"
Land Rover,green,51738,7,"$27,098"
Kia,maroon,9071,5,"$53,165"
Toyota,olive,12205,2,"$39,273"
Dodge,yellow,55513,6,"$37,717"
Chevrolet,fuchsia,30099,5,"$32,102"
Ford,black,52234,4,"$97,345"
Oldsmobile,aqua,55493,5,"$96,012"
Toyota,olive,54363,3,"$68,418"
Dodge,blue,66616,4,"$32,804"
Nissan,lime,54694,7,"$69,124"
Toyota,fuchsia,72940,2,"$54,565"
Ford,gray,40876,6,"$81,709"
Audi,olive,57057,3,"$24,480"
Chevrolet,gray,94340,3,"$28,570"
Volvo,yellow,21646,3,"$6,972"
Porsche,purple,8733,6,"$18,223"
Toyota,maroon,78639,7,"$60,551"
Nissan,green,20758,7,"$36,938"
Acura,white,85392,5,"$55,277"
Dodge,yellow,29715,3,"$17,560"
Dodge,yellow,78044,2,"$40,539"
Nissan,teal,52776,4,"$84,880"
BMW,aqua,40680,3,"$3,122"
Nissan,green,7865,3,"$98,918"
GMC,yellow,19665,5,"$30,937"
Chevrolet,green,42727,7,"$81,396"
Ram,maroon,94106,3,"$47,640"
Chevrolet,white,88472,7,"$78,927"
Mercedes-Benz,aqua,83119,5,"$4,213"
Kia,black,66331,6,"$1,170"
Dodge,purple,68356,4,"$58,394"
Nissan,white,77120,3,"$11,002"
Acura,aqua,41274,5,"$13,631"
Honda,green,90279,4,"$66,594"
Ford,gray,92037,5,"$76,881"
Mercedes-Benz,navy,33480,6,"$66,904"
Mercedes-Benz,purple,17172,6,"$86,242"
Porsche,fuchsia,93106,6,"$71,526"
Saturn,fuchsia,81277,5,"$29,764"
HUMMER,purple,62460,4,"$27,293"
Mercedes-Benz,olive,46584,2,"$35,251"
Hyundai,gray,38601,4,"$37,071"
Audi,black,48646,3,"$46,270"
Ram,navy,2761,7,"$13,621"
Plymouth,gray,34942,5,"$65,624"
Mercedes-Benz,maroon,41901,4,"$4,790"
Dodge,silver,48508,4,"$45,909"
Kia,silver,9475,5,"$81,377"
Lincoln,purple,93213,4,"$80,733"
Audi,lime,47311,2,"$15,917"
Chevrolet,maroon,81291,2,"$20,117"
Daewoo,purple,84265,7,"$14,588"
Audi,yellow,79200,5,"$48,556"
Volkswagen,silver,94344,2,"$62,092"
Chevrolet,teal,38627,4,"$87,323"
Land Rover,maroon,17750,3,"$4,611"
Jaguar,aqua,65404,4,"$24,732"
Toyota,aqua,4530,2,"$20,169"
Cadillac,maroon,45060,3,"$86,325"
Jeep,silver,46989,5,"$94,656"
Chevrolet,navy,14815,2,"$3,480"
Nissan,black,80139,3,"$3,365"
Toyota,aqua,69544,3,"$77,317"
Ford,white,82592,3,"$75,445"
Lexus,aqua,4159,2,"$50,762"
Chevrolet,black,28534,5,"$90,263"
BMW,white,5956,6,"$41,201"
Chevrolet,blue,75972,5,"$69,327"
Isuzu,aqua,2265,2,"$48,534"
Dodge,yellow,16347,5,"$75,139"
Chevrolet,yellow,39878,3,"$93,716"
GMC,navy,41038,5,"$90,443"
Volkswagen,gray,21755,3,"$53,047"
Audi,blue,90673,7,"$95,309"
Kia,blue,56925,7,"$66,672"
BMW,gray,68605,2,"$58,144"
Mercedes-Benz,blue,79951,6,"$60,500"
Chrysler,olive,74918,4,"$39,593"
Nissan,navy,93615,2,"$20,095"
Ford,navy,46885,5,"$25,940"
GMC,maroon,92912,2,"$90,854"
Chevrolet,maroon,34801,2,"$42,033"
Kia,aqua,22790,7,"$69,084"
Volvo,purple,80533,7,"$13,936"
Ford,lime,97527,4,"$56,387"
Maybach,black,4908,3,"$84,245"
Chevrolet,fuchsia,17744,5,"$86,707"
Kia,olive,3411,6,"$96,292"
Ford,green,10186,3,"$20,430"
BMW,lime,74715,4,"$30,996"
Ford,navy,46907,7,"$37,188"
Chevrolet,navy,66445,3,"$44,937"
Honda,maroon,22108,7,"$67,008"
Kia,black,26663,7,"$58,655"
BMW,yellow,66310,6,"$55,350"
Ford,blue,4737,5,"$53,331"
MAZDA,maroon,70091,4,"$15,576"
Dodge,blue,33758,7,"$88,042"
Dodge,navy,65525,3,"$85,029"
Freightliner,purple,53294,5,"$49,253"
Chevrolet,aqua,8841,2,"$66,022"
Buick,black,64196,2,"$29,157"
Jaguar,teal,3312,4,"$53,810"
Suzuki,teal,47595,2,"$68,649"
Toyota,aqua,70654,4,"$89,747"
Volkswagen,teal,76584,5,"$3,643"
Hyundai,white,79211,3,"$3,842"
MAZDA,olive,35477,6,"$31,995"
Oldsmobile,navy,72015,7,"$25,537"
GMC,navy,40279,2,"$7,125"
Nissan,navy,57643,5,"$74,945"
Ford,fuchsia,57025,7,"$16,759"
Kia,green,69830,5,"$53,076"
Dodge,blue,85904,2,"$84,033"
Acura,yellow,27586,2,"$91,396"
Audi,blue,28827,2,"$48,855"
Chevrolet,fuchsia,10843,6,"$91,535"
Lexus,teal,76391,7,"$40,803"
Lexus,black,87110,6,"$97,835"
Hyundai,teal,16498,5,"$18,819"
Buick,olive,23455,7,"$12,885"
Plymouth,gray,78826,6,"$72,838"
Volvo,silver,15720,4,"$97,280"
Ford,silver,23564,5,"$25,342"
Cadillac,lime,28131,6,"$34,321"
Chrysler,lime,59042,4,"$16,394"
Kia,green,37604,2,"$91,508"
Land Rover,black,64387,5,"$98,703"
Mitsubishi,black,35423,3,"$91,132"
Dodge,silver,74634,7,"$23,199"
Chevrolet,navy,43409,7,"$74,770"
Chevrolet,silver,9018,7,"$31,429"
Ferrari,silver,56789,2,"$50,237"
Toyota,lime,11149,7,"$60,350"
Chevrolet,lime,92270,3,"$96,736"
Kia,teal,93490,3,"$44,948"
Isuzu,black,35281,7,"$43,549"
MAZDA,fuchsia,35916,3,"$28,886"
GMC,olive,86106,6,"$52,828"
Audi,purple,43239,7,"$1,624"
Dodge,navy,12983,6,"$35,130"
GMC,silver,80265,7,"$92,000"
Chevrolet,silver,97129,5,"$43,713"
Chevrolet,blue,71537,3,"$72,901"
SRT,black,34359,2,"$65,636"
Dodge,green,1994,4,"$18,536"
Toyota,teal,46996,6,"$80,137"
Audi,maroon,58189,5,"$54,364"
Mitsubishi,maroon,66609,7,"$4,053"
MAZDA,navy,35901,3,"$34,844"
Chevrolet,gray,98215,3,"$66,916"
Genesis,teal,23889,4,"$56,662"
Chevrolet,maroon,70915,5,"$34,819"
Acura,green,85900,7,"$94,641"
INFINITI,navy,56795,7,"$43,139"
Mercedes-Benz,blue,21733,7,"$60,285"
Kia,purple,57073,3,"$28,854"
Mercedes-Benz,white,92063,4,"$32,372"
GMC,aqua,68728,6,"$36,378"
Nissan,silver,3866,3,"$97,968"
Suzuki,white,66584,3,"$44,868"
Ferrari,purple,77142,7,"$34,365"
Ford,olive,11998,5,"$57,865"
Jeep,fuchsia,10161,4,"$57,642"
Dodge,gray,25069,2,"$10,428"
Nissan,silver,57954,7,"$89,942"
GMC,lime,82655,7,"$65,329"
Jaguar,navy,65375,6,"$50,686"
Mitsubishi,gray,11430,3,"$33,318"
Maserati,maroon,19703,2,"$25,888"
Porsche,fuchsia,79735,7,"$4,086"
Toyota,white,21425,4,"$20,678"
Ford,silver,14294,4,"$66,975"
Ford,fuchsia,14471,3,"$58,661"
Isuzu,silver,43919,3,"$17,657"
Suzuki,olive,43923,5,"$85,157"
Nissan,maroon,42060,6,"$22,856"
Ford,blue,1734,5,"$2,484"
BMW,purple,10577,4,"$89,717"
Scion,silver,69176,2,"$28,335"
Land Rover,blue,77864,5,"$54,946"
MAZDA,fuchsia,15710,2,"$30,224"
Mitsubishi,yellow,1975,4,"$24,885"
Jaguar,yellow,1972,2,"$74,143"
Isuzu,white,32343,4,"$34,090"
Dodge,green,81563,5,"$59,476"
GMC,navy,63967,5,"$85,385"
Volkswagen,white,37686,2,"$13,699"
Chevrolet,yellow,14845,2,"$30,867"
GMC,navy,64173,3,"$13,121"
Lincoln,aqua,61787,5,"$43,553"
Maserati,lime,29299,7,"$22,712"
BMW,silver,16798,5,"$43,378"
Isuzu,lime,77729,7,"$1,074"
Audi,silver,25141,4,"$49,273"
Ram,blue,2745,2,"$27,725"
Ram,white,58947,5,"$61,593"
Nissan,blue,77568,3,"$90,811"
GMC,yellow,14603,3,"$64,964"
Land Rover,aqua,4409,7,"$23,143"
Isuzu,teal,29545,3,"$70,917"
Volvo,white,45153,7,"$17,294"
Land Rover,lime,22669,7,"$3,560"
Ford,aqua,17735,5,"$50,356"
Saab,black,65178,6,"$77,200"
Audi,gray,26810,2,"$44,835"
Eagle,teal,89118,4,"$44,262"
Pontiac,olive,68548,7,"$58,384"
Saab,teal,16672,7,"$19,072"
Ford,maroon,31451,6,"$83,732"
Ford,green,16114,4,"$59,513"
Buick,olive,25885,7,"$63,000"
Chevrolet,white,75485,3,"$73,819"
Chevrolet,purple,6535,4,"$18,103"
Ford,navy,83769,3,"$15,893"
Suzuki,olive,15383,3,"$6,509"
Toyota,maroon,9714,7,"$24,552"
Porsche,navy,86665,7,"$24,099"
Panoz,yellow,82599,3,"$62,498"
INFINITI,white,19301,4,"$33,090"
Volkswagen,olive,49917,3,"$19,804"
Ford,aqua,35551,7,"$44,637"
Porsche,olive,69545,7,"$43,637"
Chevrolet,gray,56749,6,"$71,141"
Chevrolet,white,45129,6,"$8,278"
Ram,silver,73129,5,"$30,272"
GMC,purple,72396,2,"$29,345"
Lexus,gray,9039,5,"$44,861"
Mitsubishi,blue,22866,2,"$96,164"
Volvo,navy,63607,2,"$4,107"
GMC,fuchsia,83633,3,"$65,658"
Chevrolet,yellow,48910,3,"$39,441"
Mitsubishi,green,54821,2,"$18,876"
Ford,white,21719,5,"$83,016"
Toyota,teal,85253,3,"$18,650"
Ford,gray,14597,6,"$80,049"
Nissan,olive,91633,2,"$49,407"
Dodge,blue,58846,7,"$32,980"
Mercedes-Benz,teal,1590,3,"$79,767"
Suzuki,blue,58410,6,"$66,786"
Lamborghini,yellow,15177,3,"$70,942"
MAZDA,blue,61233,7,"$94,072"
Chevrolet,maroon,81070,6,"$88,822"
Lexus,aqua,38957,7,"$13,397"
GMC,aqua,64704,3,"$90,516"
Mercedes-Benz,olive,97329,7,"$58,122"
Chrysler,fuchsia,19212,3,"$53,172"
Ford,olive,27852,4,"$78,146"
GMC,fuchsia,61279,7,"$83,303"
Toyota,white,30694,7,"$11,385"
Porsche,black,71902,5,"$53,795"
Volkswagen,teal,72731,3,"$88,777"
BMW,aqua,49989,3,"$86,655"
Buick,navy,36372,5,"$7,403"
MINI,silver,21353,7,"$19,439"
BMW,maroon,70930,3,"$69,355"
Ram,yellow,76279,4,"$50,226"
Kia,yellow,10314,6,"$41,883"
Subaru,maroon,25350,3,"$8,381"
BMW,maroon,66393,7,"$57,449"
Toyota,lime,64052,7,"$11,527"
Volvo,green,53096,6,"$35,125"
Ram,black,97622,2,"$16,630"
Volkswagen,teal,50656,5,"$85,813"
Toyota,maroon,38436,2,"$38,706"
Ram,navy,62915,4,"$76,749"
Toyota,white,79970,7,"$4,041"
Volkswagen,olive,41485,5,"$34,648"
Toyota,white,99016,5,"$20,435"
Pontiac,aqua,18030,5,"$87,030"
Ford,olive,93695,5,"$95,480"
Nissan,olive,25167,3,"$74,172"
Hyundai,fuchsia,74933,6,"$96,485"
Mercedes-Benz,lime,26569,6,"$51,345"
Nissan,lime,44541,4,"$11,382"
Hyundai,purple,62476,5,"$94,583"
Ford,olive,48410,3,"$82,863"
Jeep,white,47934,7,"$74,946"
Toyota,fuchsia,95881,2,"$52,406"
Lexus,gray,27615,4,"$62,162"
Land Rover,lime,31959,6,"$66,089"
Volvo,silver,22484,3,"$83,806"
Toyota,aqua,85654,7,"$15,864"
Chevrolet,olive,56257,4,"$25,579"
Chevrolet,blue,67895,2,"$41,991"
GMC,navy,84069,2,"$8,738"
Maserati,white,1853,3,"$42,981"
Geo,silver,37509,6,"$27,978"
Ford,navy,5644,3,"$29,162"
Honda,blue,42470,2,"$28,389"
Dodge,green,12566,2,"$39,490"
Audi,yellow,83183,6,"$62,324"
Aston Martin,purple,52962,4,"$72,397"
Honda,purple,55507,2,"$50,407"
Volkswagen,navy,75515,6,"$37,737"
Hyundai,gray,28972,5,"$66,713"
Ford,gray,86761,7,"$98,090"
Volvo,lime,13035,6,"$5,070"
GMC,purple,60070,3,"$76,033"
Chrysler,silver,12977,4,"$82,200"
Lincoln,silver,44383,6,"$39,848"
Mitsubishi,aqua,43449,4,"$42,983"
Ford,yellow,8367,4,"$99,123"
Chevrolet,green,45150,5,"$9,964"
Ford,green,79786,5,"$9,096"
Chevrolet,teal,59754,2,"$57,001"
Chrysler,yellow,63764,2,"$58,189"
Dodge,aqua,18066,2,"$70,204"
Chevrolet,purple,87546,4,"$34,996"
Dodge,maroon,66056,2,"$62,105"
BMW,blue,94808,6,"$81,966"
Chevrolet,gray,93191,5,"$92,534"
GMC,maroon,61048,5,"$60,909"
Hyundai,silver,52018,4,"$95,071"
Ford,black,69857,5,"$61,237"
Ferrari,olive,83741,2,"$86,891"
Freightliner,gray,84942,5,"$90,428"
Oldsmobile,silver,91128,4,"$62,149"
Chevrolet,gray,47717,2,"$14,922"
Dodge,green,90283,3,"$38,284"
Jaguar,silver,41105,6,"$91,563"
Toyota,olive,44521,6,"$55,276"
Subaru,teal,58917,3,"$76,275"
Acura,aqua,31871,3,"$86,811"
Chevrolet,green,58615,7,"$23,345"
Volkswagen,green,47167,2,"$97,760"
GMC,black,80267,2,"$32,240"
BMW,blue,14117,5,"$40,171"
Dodge,gray,35480,7,"$17,766"
MINI,yellow,98739,7,"$86,745"
HUMMER,fuchsia,94413,5,"$51,337"
Mercedes-Benz,aqua,13253,3,"$34,783"
GMC,white,97997,7,"$18,722"
Suzuki,yellow,48902,3,"$32,921"
Ford,maroon,74412,6,"$49,170"
Ford,maroon,84654,6,"$96,438"
Plymouth,lime,88584,2,"$56,085"
Hyundai,silver,35021,6,"$29,289"
Honda,maroon,83863,3,"$8,125"
Hyundai,maroon,61392,3,"$17,999"
Porsche,silver,72290,5,"$95,808"
MAZDA,yellow,96499,6,"$88,152"
Lincoln,teal,90557,2,"$87,151"
Nissan,lime,70896,4,"$97,303"
Chevrolet,white,87959,5,"$62,122"
Hyundai,black,30782,2,"$12,617"
Ford,silver,64115,4,"$7,427"
Ford,olive,19394,5,"$26,247"
Acura,silver,64125,6,"$63,811"
MAZDA,purple,87556,6,"$6,383"
GMC,navy,65479,3,"$45,424"
Toyota,green,56729,5,"$99,180"
Kia,aqua,5423,3,"$57,920"
Aston Martin,maroon,63424,3,"$6,770"
Acura,teal,23932,6,"$74,266"
Volkswagen,lime,4638,4,"$70,847"
Mercedes-Benz,yellow,11933,5,"$25,869"
Ram,purple,40626,6,"$24,579"
Ford,green,28815,6,"$99,087"
Volkswagen,silver,94495,6,"$70,259"
Ford,black,55337,6,"$33,608"
Dodge,blue,27156,3,"$32,104"
GMC,navy,8008,2,"$82,937"
Chevrolet,teal,14481,6,"$31,032"
Chevrolet,navy,28944,2,"$10,875"
GMC,navy,37420,2,"$98,047"
Chevrolet,lime,68680,7,"$24,890"
Toyota,purple,33817,6,"$73,636"
Freightliner,olive,22775,5,"$69,554"
Mercedes-Benz,blue,84801,6,"$34,982"
smart,black,28478,6,"$51,247"
Buick,aqua,98593,5,"$46,683"
Toyota,fuchsia,5659,4,"$23,079"
Chevrolet,black,32976,5,"$40,312"
BMW,green,26237,2,"$70,697"
GMC,lime,66809,3,"$44,787"
Chevrolet,aqua,81463,4,"$92,060"
Chevrolet,maroon,58867,4,"$77,151"
Audi,olive,88824,5,"$94,398"
Ford,fuchsia,86673,3,"$74,502"
BMW,lime,10026,7,"$73,898"
BMW,purple,17732,7,"$10,972"
Chevrolet,blue,53385,6,"$33,476"
Ferrari,yellow,46218,3,"$96,416"
Subaru,blue,20393,4,"$9,792"
GMC,teal,40185,4,"$2,332"
GMC,purple,35347,2,"$85,929"
Toyota,fuchsia,67101,5,"$55,907"
MAZDA,white,47252,6,"$40,451"
Buick,gray,86959,4,"$94,026"
Chevrolet,white,11530,3,"$28,871"
Toyota,navy,12031,5,"$37,030"
Land Rover,blue,10356,2,"$35,740"
Ford,purple,48760,7,"$1,199"
Chevrolet,teal,55387,2,"$9,553"
Audi,purple,29857,7,"$34,049"
Mercedes-Benz,black,70787,2,"$35,344"
Nissan,lime,55003,2,"$15,397"
Chevrolet,silver,9256,2,"$93,404"
Ford,teal,26025,2,"$75,699"
Ford,yellow,15475,3,"$67,937"
Dodge,green,38180,7,"$86,950"
Ford,aqua,90774,3,"$6,175"
Acura,green,64606,2,"$26,535"
Mitsubishi,black,67022,4,"$35,218"
MAZDA,silver,42711,7,"$47,607"
Nissan,blue,42036,2,"$26,296"
Isuzu,navy,33054,6,"$60,740"
Ford,lime,78321,2,"$36,671"
Ford,gray,80675,3,"$29,137"
BMW,white,39772,6,"$44,122"
Ford,olive,23932,4,"$58,001"
Buick,silver,8438,2,"$84,138"
GMC,lime,64644,2,"$70,163"
Dodge,lime,54090,5,"$56,582"
Audi,black,89248,2,"$64,833"
Land Rover,lime,75225,6,"$96,870"
Cadillac,purple,79148,5,"$33,997"
Honda,black,91997,6,"$39,146"
GMC,fuchsia,20460,4,"$52,627"
Toyota,teal,12640,5,"$13,260"
Jeep,fuchsia,34551,4,"$62,920"
Ford,blue,31311,2,"$57,749"
Kia,fuchsia,31683,7,"$37,657"
Chevrolet,navy,16420,6,"$90,119"
Audi,silver,87615,7,"$63,278"
Hyundai,teal,22227,2,"$28,147"
Ferrari,fuchsia,36792,6,"$99,590"
Cadillac,blue,26984,2,"$72,444"
Dodge,yellow,25841,6,"$21,212"
Buick,yellow,71806,4,"$38,039"
GMC,blue,54047,5,"$75,470"
